|TABLE_SCHEMA|TABLE_NAME               |COLUMN_NAME         |DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE|COLUMN_KEY|EXTRA                      |
|------------|-------------------------|--------------------|---------|------------------------|-----------|----------|---------------------------|
|employeedata|auth_events              |auth_event_id       |bigint   |                        |NO         |PRI       |auto_increment             |
|employeedata|auth_events              |user_id             |int      |                        |YES        |MUL       |                           |
|employeedata|auth_events              |event_type          |varchar  |32                      |NO         |          |                           |
|employeedata|auth_events              |event_time          |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|auth_events              |ip_address          |varchar  |45                      |YES        |          |                           |
|employeedata|auth_events              |user_agent          |varchar  |255                     |YES        |          |                           |
|employeedata|change_log               |change_id           |bigint   |                        |NO         |PRI       |auto_increment             |
|employeedata|change_log               |table_name          |varchar  |128                     |NO         |MUL       |                           |
|employeedata|change_log               |record_pk           |varchar  |128                     |NO         |          |                           |
|employeedata|change_log               |operation           |enum     |6                       |NO         |          |                           |
|employeedata|change_log               |changed_by_user_id  |int      |                        |NO         |MUL       |                           |
|employeedata|change_log               |changed_at          |datetime |                        |NO         |          |DEFAULT_GENERATED          |
|employeedata|change_log               |old_values          |json     |                        |YES        |          |                           |
|employeedata|change_log               |new_values          |json     |                        |YES        |          |                           |
|employeedata|cities                   |cityid              |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|cities                   |city_name           |varchar  |125                     |NO         |          |                           |
|employeedata|cities                   |stateid             |int      |                        |YES        |MUL       |                           |
|employeedata|cities                   |countryid           |int      |                        |YES        |MUL       |                           |
|employeedata|contact_types            |contact_type_id     |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|contact_types            |type_name           |varchar  |64                      |NO         |UNI       |                           |
|employeedata|countries                |countryid           |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|countries                |country_abbreviation|varchar  |3                       |NO         |UNI       |                           |
|employeedata|countries                |country_name        |varchar  |125                     |NO         |          |                           |
|employeedata|divisions                |divid               |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|divisions                |name                |varchar  |100                     |NO         |          |                           |
|employeedata|divisions                |description         |varchar  |255                     |YES        |          |                           |
|employeedata|divisions                |cityid              |int      |                        |NO         |MUL       |                           |
|employeedata|divisions                |address_line1       |varchar  |100                     |NO         |          |                           |
|employeedata|divisions                |address_line2       |varchar  |100                     |YES        |          |                           |
|employeedata|divisions                |stateid             |int      |                        |YES        |MUL       |                           |
|employeedata|divisions                |countryid           |int      |                        |NO         |MUL       |                           |
|employeedata|divisions                |zip_code            |varchar  |15                      |NO         |          |                           |
|employeedata|divisions                |is_active           |tinyint  |                        |NO         |          |                           |
|employeedata|employee_contact         |contact_id          |int      |                        |NO         |PRI       |auto_increment             |
|employeedata|employee_contact         |empid               |int      |                        |NO         |MUL       |                           |
|employeedata|employee_contact         |contact_type_id     |int      |                        |NO         |MUL       |                           |
|employeedata|employee_contact         |contact_value       |varchar  |128                     |NO         |          |                           |
|employeedata|employee_contact         |is_primary          |tinyint  |                        |YES        |          |                           |
|employeedata|employee_demographic     |empid               |int      |                        |NO         |PRI       |                           |
|employeedata|employee_demographic     |gender              |varchar  |50                      |YES        |          |                           |
|employeedata|employee_demographic     |race                |varchar  |50                      |YES        |          |                           |
