|TABLE_SCHEMA|TABLE_NAME               |COLUMN_NAME         |DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|
|------------|-------------------------|--------------------|---------|------------------------|
|employeedata|auth_events              |auth_event_id       |bigint   |                        |
|employeedata|auth_events              |user_id             |int      |                        |
|employeedata|auth_events              |event_type          |varchar  |32                      |
|employeedata|auth_events              |event_time          |datetime |                        |
|employeedata|auth_events              |ip_address          |varchar  |45                      |
|employeedata|auth_events              |user_agent          |varchar  |255                     |
|employeedata|change_log               |change_id           |bigint   |                        |
|employeedata|change_log               |table_name          |varchar  |128                     |
|employeedata|change_log               |record_pk           |varchar  |128                     |
|employeedata|change_log               |operation           |enum     |6                       |
|employeedata|change_log               |changed_by_user_id  |int      |                        |
|employeedata|change_log               |changed_at          |datetime |                        |
|employeedata|change_log               |old_values          |json     |                        |
|employeedata|change_log               |new_values          |json     |                        |
|employeedata|cities                   |cityid              |int      |                        |
|employeedata|cities                   |city_name           |varchar  |125                     |
|employeedata|cities                   |stateid             |int      |                        |
|employeedata|cities                   |countryid           |int      |                        |
|employeedata|contact_types            |contact_type_id     |int      |                        |
|employeedata|contact_types            |type_name           |varchar  |64                      |
|employeedata|countries                |countryid           |int      |                        |
|employeedata|countries                |country_abbreviation|varchar  |3                       |
|employeedata|countries                |country_name        |varchar  |125                     |
|employeedata|divisions                |divid               |int      |                        |
|employeedata|divisions                |name                |varchar  |100                     |
|employeedata|divisions                |description         |varchar  |255                     |
|employeedata|divisions                |cityid              |int      |                        |
|employeedata|divisions                |address_line1       |varchar  |100                     |
|employeedata|divisions                |address_line2       |varchar  |100                     |
|employeedata|divisions                |stateid             |int      |                        |
|employeedata|divisions                |countryid           |int      |                        |
|employeedata|divisions                |zip_code            |varchar  |15                      |
|employeedata|divisions                |is_active           |tinyint  |                        |
|employeedata|employee_contact         |contact_id          |int      |                        |
|employeedata|employee_contact         |empid               |int      |                        |
|employeedata|employee_contact         |contact_type_id     |int      |                        |
|employeedata|employee_contact         |contact_value       |varchar  |128                     |
|employeedata|employee_contact         |is_primary          |tinyint  |                        |
|employeedata|employee_demographic     |empid               |int      |                        |
|employeedata|employee_demographic     |gender              |varchar  |50                      |
|employeedata|employee_demographic     |race                |varchar  |50                      |
|employeedata|employee_demographic     |dob                 |date     |                        |
|employeedata|employee_demographic     |address_line1       |varchar  |255                     |
|employeedata|employee_demographic     |address_line2       |varchar  |255                     |
|employeedata|employee_demographic     |city_id             |int      |                        |
|employeedata|employee_demographic     |state_id            |int      |                        |
|employeedata|employee_demographic     |country_id          |int      |                        |
|employeedata|employee_division        |empid               |int      |                        |
|employeedata|employee_division        |divid               |int      |                        |
|employeedata|employee_division        |effective_start     |date     |                        |
|employeedata|employee_division        |effective_end       |date     |                        |
|employeedata|employee_employment_types|employment_type_id  |int      |                        |
|employeedata|employee_employment_types|empid               |int      |                        |
|employeedata|employee_employment_types|is_active           |tinyint  |                        |
|employeedata|employee_job_title       |empid               |int      |                        |
|employeedata|employee_job_title       |job_title_id        |int      |                        |
|employeedata|employee_job_title       |effective_start     |date     |                        |
|employeedata|employee_job_title       |effective_end       |date     |                        |
|employeedata|employee_status          |status_id           |int      |                        |
|employeedata|employee_status          |empid               |int      |                        |
|employeedata|employee_status          |status              |enum     |14                      |
|employeedata|employee_status          |hire_date           |date     |                        |
|employeedata|employee_status          |termination_date    |date     |                        |
|employeedata|employee_status          |effective_start     |date     |                        |
|employeedata|employee_status          |effective_end       |date     |                        |
|employeedata|employees                |empid               |int      |                        |
|employeedata|employees                |fname               |varchar  |65                      |
|employeedata|employees                |lname               |varchar  |65                      |
|employeedata|employees                |salary              |decimal  |                        |
|employeedata|employees                |ssn_last4           |char     |4                       |
|employeedata|employees                |ssn_hash            |char     |64                      |
|employeedata|employees                |ssn_enc             |varbinary|256                     |
|employeedata|employees                |ssn_iv              |varbinary|16                      |
|employeedata|employees                |created_at          |datetime |                        |
|employeedata|employees                |updated_at          |datetime |                        |
|employeedata|employment_types         |employment_type_id  |int      |                        |
|employeedata|employment_types         |employment_type_name|varchar  |64                      |
